Nazwa,ECTS,Tryb,Kryteria
Współczesna literatura białoruska I,3.0,w sali,"Przy ocenie końcowej pod uwagę brana będzie aktywność studenta na zajęciach, prezentacje indywidualne, obecność na zajęciach oraz na koniec zaliczenie w formie ustnej z omówionego podczas zajęć materiału. 
Zaliczenie w formie ustnej
W czasie zaliczenia zadawane są pytania obejmujące zagadnienia prezentowane w trakcie konwersatorium.
I. Liczba pytań: 3.
II. Punktacja pytań: od 3 do 0.
III. Przelicznik punktów na oceny:
4,5-5 pkt. – dst (3,0)
5,5-6 pkt. – dst+ (3,5)
6,5-7 pkt. – db (4,0)
7,5-8 pkt. – db+ (4,5)
8,5-9 pkt. – bdb (5,0)
9+ pkt. – bdb! (5!)
Pkt. 3
Student: charakteryzuje epokę, okres lub kierunek literacki z wykorzystaniem różnych wyznaczników (filozoficznego, światopoglądowego, poetologicznego itp.), przywołuje nazwiska przedstawicieli (również drugoplanowych) wykazuje szczegółową znajomość treści lektur, przeprowadza całościową analizę (odwołując się do gatunku, struktury i treści), podaje różne stanowiska badawcze, umieszcza twórczość pisarza i dzieło w procesie historycznoliterackim. Wypowiedź ma charakter spontaniczny, całościowy, przemyślany, student szeroko posługuje się terminologią specjalistyczną.
Pkt. 2
Student: charakteryzuje epokę, okres lub kierunek literacki, wykazuje znajomość treści lektur, przeprowadza analizę (odwołując się do gatunku, struktury i treści), umieszcza twórczość pisarza i dzieło w kontekście epoki. Wypowiedź ma charakter płynny, student posługuje się terminologią specjalistyczną.
Pkt. 1
Student: w ograniczonym zakresie, po zadaniu pytań dodatkowych charakteryzuje epokę, okres lub kierunek literacki, wykazuje podstawową znajomość treści lektur, przeprowadza analizę na poziomie podstawowym (odwołując się jedynie do treści), wymienia jedynie niektórych przedstawicieli kierunku i ich dzieła, wskazuje jedynie konstytutywne cechy epoki, okresu lub kierunku literackiego. Wypowiedź jest urywana; składa się z informacji niepowiązanych ze sobą, student wymaga naprowadzania przez egzaminatora.
Wymogi na ocenę 5!
- 3 pkt. za każde pytanie,
- spełnienie wymogów za 3 pkt. oraz dodatkowo: wiedza i umiejętności spoza programu nauczania, znajomość lektur spoza listy lektur, odwołania do literatury światowej.
Warunkiem uzyskania zaliczenia jest:
Znajomość treści tekstów umieszczonych na liście lektur (30%)
Samodzielne przygotowanie i przedstawienie projektu utworu autora umieszczonego w spisie lektur (20%)
Zaliczenie ustne (30%)
Ocena ciągła (bieżące przygotowanie i obecność na zajęciach (20%)
Student uzyskuje zaliczenie pod warunkiem spełnienia wszystkich wymagań."
Kształcenie kompetencji komunikacyjnych w zakresie języka ukraińskiego (C1),4.0,w sali,"Przedmiot kończy się egzaminem pisemnym.
Warunki zaliczenia przedmiotu i dopuszczenia do końcowego egzaminu
- aktywne uczestnictwo w zajęciach;
 - systematyczne przygotowanie na zajęcia zadanego materiału;
- terminowe wykonywanie prac domowych i pisanie testów kontrolnych w wyznaczonym czasie.
Na ocenę końcową składa się praca w trakcie semestru (30%) oraz wynik egzaminu (70%).
Przedmiot kończy się egzaminem, gdzie kryteria oceny przedstawione są w formie progów procentowych (punkty uzyskane z egzaminu)
60% – 68% - 3 (ocena dostateczna)
69% - 77% - 3+ (ocena dostateczna plus)
78% - 85% - 4 (ocena dobra)
86% - 91% - 4+ (ocena dobra plus)
92% - 97% - 5 (ocena bardzo dobra)
98% -100% - 5 !(ocena bardzo dobra z wykrzyknikiem)
W razie uzyskania oceny niedostatecznej student ma prawo do powtórnego podejścia do egzaminu w takiej samej formie pod warunkiem uzyskania zaliczenia przedmiotu. Wykładowca może ustalić dodatkowe warunki zaliczenia za nieobecności.
Student ma prawo do 2 na każde 30 godzin nieusprawiedliwionych nieobecności, każda następna wymaga złożenia usprawiedliwienia.
Forma zaliczenia zajęć, na których student był nieobecny jest wyznaczana przez wykładowcę.
Przekroczenie nieobecności usprawiedliwionych i nieusprawiedliwionych na 50% zajęć może być podstawą do niezaliczenia przedmiotu."
Kształcenie kompetencji komunikacyjnych w zakresie języka ukraińskiego (C2),3.0,w sali,"Warunki zaliczenia przedmiotu i dopuszczenia do egzaminu:
- aktywne uczestnictwo w zajęciach;
- systematyczne przygotowanie na zajęcia zadanego materiału;
- terminowe wykonywanie prac domowych i pisanie testów kontrolnych w wyznaczonym czasie.
- zdanie egzaminu końcowego.
Na ocenę końcową składa się praca w trakcie semestru (30%) oraz wynik egzaminu (70%).
Kryteria oceny testów i egzaminu są przedstawione w formie progów procentowych:
60% – 68% - 3 (ocena dostateczna)
69% - 77% - 3+ (ocena dostateczna plus)
78% - 85% - 4 (ocena dobra)
86% - 91% - 4+ (ocena dobra plus)
92% - 97% - 5 (ocena bardzo dobra)
98% -100% - 5! (ocena bardzo dobra z wykrzyknikiem)
Student ma prawo do 2 na każde 30 godzin nieusprawiedliwionych nieobecności, każda następna wymaga złożenia usprawiedliwienia.
Forma zaliczenia zajęć, na których student był nieobecny jest wyznaczana przez wykładowcę.
Przekroczenie nieobecności usprawiedliwionych i nieusprawiedliwionych na 50% zajęć może być podstawą do niezaliczenia przedmiotu.
Student ma prawo do przystąpienia do egzaminu w sesji poprawkowej w takiej samej formie, jak w sesji podstawowej i pod warunkiem uzyskania zaliczenia z przedmiotu. Wykładowca może ustalić dodatkowe warunki zaliczenia za nieobecności."
Język angielski w marketingu - biznes w Europie Środkowo-Wschodniej,2.0,w sali,"Warunki zaliczenia przedmiotu:
- obecność na zajęciach
- przygotowanie do zajęć
- aktywność na zajęciach
- testy kontrolne 
- projekt
- końcowy test zaliczeniowy
Składniki oceny końcowej:
- ocena ciągła (bieżące przygotowanie do zajęć i aktywność) - 10%
- testy kontrolne - 20%
- projekt - 20%
- końcowy test zaliczeniowy - 50%
Kryteria oceny (progi procentowe):
99% -100% - 5! (ocena bardzo dobra z wykrzyknikiem)
96% - 98 % - 5 (ocena bardzo dobra)
87% - 95% - 4+ (ocena dobra plus)
78% - 86% - 4 (ocena dobra)
69% - 77% - 3+ (ocena dostateczna plus)
60% – 68% - 3 (ocena dostateczna)
Student ma prawo do 2 nieusprawiedliwionych nieobecności, każda następna wymaga złożenia usprawiedliwienia. Sposób odrabiania pozostałych nieusprawiedliwionych nieobecności wyznacza prowadzący.
W przypadku nieuzyskania zaliczenia do ostatnich zajęć w semestrze student ma prawo do uzyskania zaliczenia i oceny końcowej na takich samych zasadach w sesji podstawowej i poprawkowej."
Język ukraiński w dyplomacji i polityce,3.0,w sali,"Przedmiot kończy się egzaminem.
Warunki zaliczenia przedmiotu i dopuszczenia do egzaminu: 
- obecność na zajęciach
- systematyczne przygotowanie na zajęcia zadanego materiału 
Podczas wystawiania oceny końcowej – za egzamin - stosuje się następujące kryteria: 
- osiągnięcie zakładanych efektów kształcenia obejmujących wszystkie istotne aspekty – 5,0 (ocena bardzo dobra) 
- osiągnięcie zakładanych efektów kształcenia obejmujących wszystkie istotne aspekty z niewielką liczbą błędów lub nieścisłości – 4,5 (ocena dobra plus) 
- osiągnięcie zakładanych efektów kształcenia z pominięciem niektórych (mniej istotnych) aspektów – 4,0 (ocena dobra) 
- osiągnięcie zakładanych efektów kształcenia z pominięciem niektórych istotnych aspektów oraz z istotnymi nieścisłościami – 3,5 (ocena dostateczna plus)
 - osiągnięcie zakładanych efektów kształcenia z pominięciem istotnych aspektów lub z poważnymi nieścisłościami – 3,0 (ocena dostateczna plus) 
- brak osiągnięcia zakładanych efektów kształcenia – 2,0 (ocena niedostateczna)
Przedmiot kończy się egzaminem pisemnym, gdzie kryteria oceny przedstawione są w formie progów procentowych (punkty uzyskane z egzaminu pisemnego):
60% – 69% - 3 (ocena dostateczna) 
70% - 77% - 3+ (ocena dostateczna plus) 
78% - 85% - 4 (ocena dobra) 
86% - 91% - 4+ (ocena dobra plus) 
92% - 97 % - 5 (ocena bardzo dobra)
98% -100% - 5 !(ocena bardzo dobra z wykrzyknikiem)"
Język ukraiński w mediach,3.0,w sali,"Przedmiot kończy się testem (zaliczenie na ocenę)
Warunki zaliczenia przedmiotu i dopuszczenia do końcowego egzaminu
- aktywne uczestnictwo w zajęciach;
 - systematyczne przygotowanie na zajęcia zadanego materiału;
- terminowe wykonywanie prac domowych i pisanie testów kontrolnych w wyznaczonym czasie.
Na ocenę końcową składa się praca w trakcie semestru (30%) oraz wynik testu (70%).
Kryteria oceny przedstawione są w formie progów procentowych (punkty uzyskane z testu)
60% – 68% - 3 (ocena dostateczna)
69% - 77% - 3+ (ocena dostateczna plus)
78% - 85% - 4 (ocena dobra)
86% - 91% - 4+ (ocena dobra plus)
92% - 97% - 5 (ocena bardzo dobra)
98% -100% - 5 !(ocena bardzo dobra z wykrzyknikiem)
W razie uzyskania oceny niedostatecznej student ma prawo do powtórnego podejścia do egzaminu w takiej samej formie pod warunkiem uzyskania zaliczenia przedmiotu. Wykładowca może ustalić dodatkowe warunki zaliczenia za nieobecności.
Student ma prawo do 2 na każde 30 godzin nieusprawiedliwionych nieobecności, każda następna wymaga złożenia usprawiedliwienia.
Forma zaliczenia zajęć, na których student był nieobecny jest wyznaczana przez wykładowcę.
Przekroczenie nieobecności usprawiedliwionych i nieusprawiedliwionych na 50% zajęć może być podstawą do niezaliczenia przedmiotu."
Język ukraiński w prawie cywilnym i rodzinnym,3.0,w sali,"Po ukończeniu kursu student:
1.wiedza
- ma uporządkowaną i pogłębioną wiedzę dotyczącą terminologii prawnej i prawniczej języka ukraińskiego i języka polskiego (K2_W01);
- zna w pogłębionym stopniu zasady i techniki przekładu prawnego (K2_W05);
- posiada pogłębioną wiedzę o powiązaniu nauki języka ukraińskiego jako języka specjalistycznego z dziedziną prawa, a także dotyczącą podobieństw i różnic wynikających ze specyfiki systemu prawnego obowiązującego na Ukrainie i w Polsce (K2_W06).
2. umiejętności
- potrafi wyszukiwać, krytycznie analizować, interpretować twórczo i użytkować informacje dotyczące języka prawa ukraińskiego z wykorzystaniem właściwych źródeł (K2_ U01);
- potrafi stosować właściwe metody i narzędzia badawcze w zakresie prawnego i prawniczego języka ukraińskiego (K2_U03);
- potrafi komunikować się na tematy specjalistyczne z zakresu prawnego i prawniczego języka ukraińskiego ze zróżnicowanymi kręgami odbiorców ( K2_U07).
3. kompetencje społeczne
- student jest gotów do krytycznej oceny posiadanej wiedzy i odbieranych treści (K2_K01)."
Kształcenie kompetencji komunikacyjnych w zakresie języka rosyjskiego (A2+),4.0,zdalnie,"Zaliczenie końcowe jest formie pisemnej.
Kryteria oceny przedstawione są w formie progów procentowych (punkty uzyskane z zaliczenia)
99% -100% - 5 !(ocena bardzo dobra z wykrzyknikiem)
93% - 98 % - 5 (ocena bardzo dobra)
87% - 92% - 4+ (ocena dobra plus)
77% - 86% - 4 (ocena dobra)
70% - 76% - 3+ (ocena dostateczna plus)
60% – 69% - 3 (ocena dostateczna)
Student ma prawo do 4 nieusprawiedliwionych nieobecności, każda następna wymaga złożenia usprawiedliwienia. Obecność studenta na zajęciach jest potwierdzona podpisem na liście.
Student ma prawo przystąpić do zaliczenia w sesji poprawkowej w takiej samej formie, jak w sesji podstawowej i pod warunkiem uzyskania zaliczenia z przedmiotu.
Przekroczenie nieobecności usprawiedliwionych i nieusprawiedliwionych na 50% zajęć może być podstawą do niezaliczenia przedmiotu."
Kształcenie kompetencji komunikacyjnych w zakresie języka rosyjskiego (B1),4.0,zdalnie,"Warunki zaliczenia przedmiotu i dopuszczenia do końcowego pisemnego tekstu zaliczeniowego:
- obecność na zajęciach;
- kontrola bieżącego przygotowania;
- zaliczenie testów kontrolnych i sprawdzianów tłumaczeniowych;
- zaliczenie projektów grupowych i indywidualnych.
Test końcowy jest w formie pisemnej.
Kryteria oceny przedstawione są w formie progów procentowych (przeliczenie punktów):
99-100% - 5 !(ocena bardzo dobra z wykrzyknikiem)
93- 98 % - 5 (ocena bardzo dobra)
87-92% - 4+ (ocena dobra plus)
77-86% - 4 (ocena dobra)
70-76% - 3+ (ocena dostateczna plus)
60-69% - 3 (ocena dostateczna)
Na ocenę końcową składa się:
- ocena ciągła, kształtująca (aktywność, przygotowanie do zajęć, testy kontrolne, projekty) – 30%
- końcowy test zaliczeniowy – 70%
Student ma prawo do 2 nieusprawiedliwionych nieobecności, każda następna wymaga złożenia usprawiedliwienia.  Przekroczenie dozwolonej ilości nieusprawiedliwionych nieobecności na zajęciach wymaga uzyskania dodatkowego zaliczenia odpowiedzi ustnej przed przystąpieniem do testu końcowego.
Student ma prawo przystąpić do pisemnego testu zaliczeniowego w sesji poprawkowej w takiej samej formie, jak w sesji podstawowej i pod warunkiem uzyskania dopuszczenia do zaliczenia przedmiotu.
Przekroczenie nieobecności usprawiedliwionych i nieusprawiedliwionych na 50% zajęć może być podstawą do niezaliczenia przedmiotu."
Najnowsze dyskursy w literaturze ukraińskiej,2.0,w sali,"Metody tradycyjne
prezentacja – przedstawienie zagadnienia w sposób zachęcający do pogłębienia zdobytej wiedzy
Metody aktywizujące
ćwiczenia konwersacyjne w zakresie analizy i interpretacji tekstu
Kontrola bieżącego przygotowania
Zajęcia zorganizowane w sali 1 ECTS 
Przygotowanie do testu końcowego 1 ECTS"
Nauka języka ukrainskiego (B1),6.0,w sali,"Warunki zaliczenia przedmiotu i dopuszczenia do zaliczenia na ocenę:
- ocena ciągła, czyli aktywne uczestnictwo w zajęciach; 
 - systematyczne przygotowanie na zajęcia zadanego materiału;
- terminowe wykonywanie prac domowych i testów kontrolnych. 
Przy zaliczeniach stosuje się następujące kryteria: 
- osiągnięcie zakładanych efektów kształcenia obejmujących wszystkie istotne aspekty – 5,0 (ocena bardzo dobra) 
- osiągnięcie zakładanych efektów kształcenia obejmujących wszystkie istotne aspekty z niewielką liczbą błędów lub nieścisłości – 4,5 (ocena dobra plus) 
- osiągnięcie zakładanych efektów kształcenia z pominięciem niektórych (mniej istotnych) aspektów – 4,0 (ocena dobra) 
- osiągnięcie zakładanych efektów kształcenia z pominięciem niektórych istotnych aspektów oraz z istotnymi nieścisłościami – 3,5 (ocena dostateczna plus)
 - osiągnięcie zakładanych efektów kształcenia z pominięciem istotnych aspektów lub z poważnymi nieścisłościami – 3,0 (ocena dostateczna plus) 
- brak osiągnięcia zakładanych efektów kształcenia – 2,0 (ocena niedostateczna)
Składniki oceny: 
- ocena ciągła, kształtująca (bieżące przygotowanie do zajęć, aktywność) – 50% 
- śródsemestralne testy/ prace kontrolne – 50% 
Kryteria oceny wypowiedzi pisemnej:
a/ poprawność językowa, 
b/ zgodność wypowiedzi z tematem, 
c/ kompozycja, 
d/ objętość pracy, 
Kryteria oceny wypowiedzi ustnej: 
a/ spójność i płynność wypowiedzi, 
b/ poprawność językowa,
c/ zgodność wypowiedzi z tematem,
Przedmiot kończy się zaliczeniem na ocenę.
Na ocenę końcową składa się praca w trakcie semestru (30%) oraz wynik zaliczenia na ocenę (70%). 
Przedmiot kończy się zaliczeniem na ocenę, gdzie kryteria oceny przedstawione są w formie progów procentowych 
60% – 68% - 3 (ocena dostateczna)
69% - 77% - 3+ (ocena dostateczna plus)
78% - 85% - 4 (ocena dobra)
86% - 91% - 4+ (ocena dobra plus)
92% - 97% - 5 (ocena bardzo dobra)
98% -100% - 5 !(ocena bardzo dobra z wykrzyknikiem)
Warunkiem dopuszczenia do zaliczenia przedmiotu jest obecność na zajęciach.
Student ma prawo do 2 nieusprawiedliwionych nieobecności na każde 30 godzin, każda następna wymaga złożenia usprawiedliwienia. O uznaniu nieobecności decyduje wykładowca.
Forma zaliczenia zajęć, na których student był nieobecny, jest wyznaczana przez wykładowcę.
Przekroczenie nieobecności usprawiedliwionych i nieusprawiedliwionych na 50% zajęć może być podstawą do niezaliczenia przedmiotu.
Student ma prawo przystąpić do poprawy końcowego zaliczenia w takiej samej formie, jak w sesji podstawowej i pod warunkiem uzyskania zaliczenia z przedmiotu."
Psycholingwistyka,3.0,w sali,"Warunki zaliczenia przedmiotu (w pierwszym i drugim podejściu) i składniki oceny: 
Składniki oceny: 
- ocena ciągła, kształtująca (bieżące przygotowanie do zajęć, aktywność) – 10% 
- zaliczenie pisemne – 90 %.
Stosuje się następujące kryteria:
- osiągnięcie zakładanych efektów kształcenia obejmujących wszystkie istotne aspekty – 5,0 (ocena bardzo dobra)
- osiągnięcie zakładanych efektów kształcenia obejmujących wszystkie istotne aspekty z niewielką liczbą błędów lub nieścisłości – 4,5 (ocena dobra plus)
- osiągnięcie zakładanych efektów kształcenia z pominięciem niektórych (mniej istotnych) aspektów – 4,0 (ocena dobra)
- osiągnięcie zakładanych efektów kształcenia z pominięciem niektórych istotnych aspektów oraz z istotnymi nieścisłościami – 3,5 (ocena dostateczna plus)
- osiągnięcie zakładanych efektów kształcenia z pominięciem istotnych aspektów lub z poważnymi nieścisłościami – 3,0 (ocena dostateczna plus)
- brak osiągnięcia zakładanych efektów kształcenia – 2,0 (ocena niedostateczna).
Student ma prawo do dwóch nieusprawiedliwionych nieobecności."
Praktyczna nauka języka rosyjskiego (B2+),4.0,zdalnie,"Warunki zaliczenia przedmiotu i dopuszczenia do końcowego  zaliczenia:
- obecność na zajęciach
- aktywność na zajęciach
- bieżące przygotowanie do zajęć
- zaliczenie testów kontrolnych
- zaliczenie prezentacji indywidualnych
Kryteria oceny testów kontrolnych i końcowego testu zaliczeniowego (progi procentowe):
99-100% – 5! 
93-98 % – 5 
87-92% – 4+ 
77-86% – 4 
70-76% – 3+ 
60-69% – 3 
Na ocenę końcową składa się: ocena pracy w ciągu semestru (30%) oraz ocena z testu końcowego (70%).
Student ma prawo do 3 nieusprawiedliwionych nieobecności, każda następna wymaga złożenia usprawiedliwienia. Sposób odrabiania pozostałych nieusprawiedliwionych nieobecności wyznacza prowadzący.
Student ma prawo do przystąpienia do zaliczenia w sesji poprawkowej w takiej samej formie, jak w sesji podstawowej i pod warunkiem uzyskania zaliczenia z przedmiotu."
Praktyczna nauka języka rosyjskiego  (B1+),2.0,w sali,"Warunki zaliczenia przedmiotu i dopuszczenia do zaliczenia końcowego:
- kontrola bieżącego przygotowania;
- zaliczenie testów kontrolnych i sprawdzianów tłumaczeniowych;
-  zaliczenie projektów grupowych i indywidualnych.
Zaliczenie końcowe jest w formie pisemnej.
Kryteria oceny przedstawione są w formie progów procentowych (przeliczenie punktów):
99-100% - 5 !(ocena bardzo dobra z wykrzyknikiem)
93- 98 % - 5 (ocena bardzo dobra)
87-92% - 4+ (ocena dobra plus) 
77-86% - 4 (ocena dobra) 
70-76% - 3+ (ocena dostateczna plus) 
60-69% - 3 (ocena dostateczna) 
Student ma prawo do 2 nieusprawiedliwionych nieobecności, każda następna wymaga złożenia usprawiedliwienia. Obecność studenta na zajęciach jest potwierdzona podpisem na liście ( w sali).  W przypadku przekroczenia tych limitów, student przystępuje również do zaliczenia ustnego.
Student ma prawo przystąpić do zaliczenia w sesji poprawkowej w takiej samej formie, jak w sesji podstawowej i pod warunkiem dopuszczenia do zaliczenia z przedmiotu.
Przekroczenie nieobecności usprawiedliwionych i nieusprawiedliwionych na 50% zajęć może być podstawą do niezaliczenia przedmiotu."
Praktyczna nauka języka rosyjskiego (B2),2.0,zdalnie,"Warunki zaliczenia przedmiotu i dopuszczenia do końcowego pisemnego tekstu zaliczeniowego:
- obecność na zajęciach;
- zaliczenie projektów grupowych i indywidualnych.
Kryteria oceny przedstawione są w formie progów procentowych (przeliczenie punktów):
99-100% - 5 !(ocena bardzo dobra z wykrzyknikiem)
93- 98 % - 5 (ocena bardzo dobra)
87-92% - 4+ (ocena dobra plus)
77-86% - 4 (ocena dobra)
70-76% - 3+ (ocena dostateczna plus)
60-69% - 3 (ocena dostateczna)
Student ma prawo do 2 nieusprawiedliwionych nieobecności, każda następna wymaga złożenia usprawiedliwienia. Przekroczenie dozwolonej ilości nieusprawiedliwionych nieobecności na zajęciach wymaga uzyskania dodatkowego zaliczenia odpowiedzi ustnej przed przystąpieniem do testu zaliczeniowego. Student ma prawo przystąpić do pisemnego testu zaliczeniowego w sesji poprawkowej w takiej samej formie, jak w sesji podstawowej i pod warunkiem dopuszczenia do zaliczenia przedmiotu.
Przekroczenie nieobecności usprawiedliwionych i nieusprawiedliwionych na 50% zajęć może być podstawą do niezaliczenia przedmiotu."
"Ukraina a Europa (historia,kultura, literatura) 3",3.0,w sali,"Egzamin pisemny.
Kryteria oceny przedstawione są w formie progów procentowych (przeliczenie punktów):
99-100% - 5 !(ocena bardzo dobra z wykrzyknikiem)
93- 98 % - 5 (ocena bardzo dobra)
87-92% - 4+ (ocena dobra plus)
77-86% - 4 (ocena dobra)
70-76% - 3+ (ocena dostateczna plus)
60-69% - 3 (ocena dostateczna)
Student ma prawo do 2 nieusprawiedliwionych nieobecności, każda następna wymaga złożenia
Usprawiedliwienia."
American Popular Music Culture,3.0,w sali,Ocena końcowa wystawiana jest na podstawie testu pisemnego sprawdzającego wiedzę o fenomenach kulturowych omówionych na wykładzie  w szczególności umiejętność interpretacji wybranej piosenki jako całości meliczno-tekstowej w odniesieniu do ram pojęciowych wyznaczonych na zajęciach.
"Edward Morgan Forster – Life, Works, Reception",4.0,w sali,"Test końcowy, aktywny udział w zajęciach."
"Kontakty polsko-włoskie na przestrzeni wieków (dyplomacja, kultura, literatura). Wybrane zagadnienia",6.0,zdalnie,"Ocena na podstawie obecności (wymagane 60%) oraz wyniku testu zaliczeniowego (zalicza 60% poprawnych odpowiedzi). Alternatywą jest krótka praca na wskazany temat i ustne jej omówienie wraz ze szczegółowym odniesieniem się do ujętej w pracy bibliografii.
Przyjęte zasady punktacji dla oceny bieżącej:
• ponad 90% – 5
• 85%-89% – 4+
• 80%-84% – 4
• 70%-79% – 3+
• 60%-69% – 3"
"Literatura anglojęzycznego obszaru językowego, cz. 1",2.0,w sali,"Pisemny egzamin końcowy w formie pytań testowych oraz pytań otwartych.
% punktów z egzaminu a ocena:
0-59%=2 (ndst)
60%-68% = 3.0 (3)
69%-76% = 3.5 (3+)
77%-84% = 4.0 (4)
85%-92% = 4.5 (4+)
93%-98% = 5.0 (5)
99%-100% = 5.0! (5!)
Uzyskanie oceny niedostatecznej w sesji właściwej skutkuje wpisaniem oceny negatywnej do systemu USOS w pierwszym terminie i koniecznością poprawy w sesji poprawkowej. Egzamin poprawkowy odbywa się na tych samych zasadach i w tej samej formie co egzamin w sesji właściwej.
Student zobowiązany jest do uczęszczania na wszystkie zajęcia. Dopuszcza się dwie nieusprawiedliwione nieobecności na 30h zajęć kontaktowych kursu."
Neapol i Sycylia w europejskich relacjach z podróży,6.0,zdalnie,"Ocena na podstawie obecności (wymagane 60%) oraz wyniku testu zaliczeniowego. Alternatywą do testu jest krótka praca na wskazany temat i ustna obrona wraz z omówieniem wskazanej w pracy bibliografii.
Przyjęte zasady punktacji dla oceny bieżącej:
• ponad 90% – 5
• 85%-89% – 4+
• 80%-84% – 4
• 70%-79% – 3+
• 60%-69% – 3"
Social changes mirrored by lyrics of American hip-hop genre,3.0,lektura monograficznaw sali,Ustalana jest przez prowadzącego wykład.
Wprowadzenie do literatury latynoamerykańskiej,3.0,w sali,"Wykład monograficzny
Zaliczenie na ocenę."
Kurs na Równość – przeciwdziałanie dyskryminacji na UW,2.0,zdalnie,"Zaliczenie całości interaktywnego kursu równa się ocenie bardzo dobrej.
Niższe oceny stanowią procentowy wymiar ukończenia kursu. Najniższa pozytywna ocena to 60% kursu."
"Dzieciństwo trwa wiecznie... Dziecko we współczesnej kulturze niemieckiej, polskiej i angielskiej - próba porównania",3.0,zdalnie,"Przez pierwszy miesiąc konwersatorium będzie poświęcona wyjaśnieniu pojęć naukowych z zakresu children studies oraz tła historyczno-społeczno-kulturalnego, tendencji badawczych dotyczących kategorii ,dziecko' i ,dzieciństwo' we współczesnej kulturze europejskiej. W kolejnych miesiącach będziemy analizować konkretne pisma psychologiczne oraz badania psychologiczne czołowych psychologów XX i XXI wieku. W tym okresie na każdych zajęciach student będzie miał możliwość przestawienia 15-minutowego referatu w formie ustnej, który będzie podstawą zaliczenia przedmiotu."
E-commerce w praktyce - Uruchomienie sprzedaży w sieci,3.0,zdalnie,"Podstawą weryfikacji wiedzy z kursu będzie:
- ocena zadań cząstkowych dostępnych po wybranych modułach kursu
- ocena projektu końcowego, czyli analizy wybranego e-biznesu lub projektu własnego e-biznesu stworzonego na bazie szablonu wdrożenia sprzedaży e-commerce"
Język niemiecki dla zaawansowanych (poziom B2/C1),3.0,zdalnie,"Na ocenę składają się oceny cząstkowe z testów i zadań on-line, prac pisemnych i ustnych na platformie Kampus UW. Podstawą zaliczenia przedmiotu jest uzyskanie min. 60% w zadaniach, pracach i testach cząstkowych."
Język niderlandzki od podstaw z kulturą Niderlandów w tle - online,3.0,zdalnie,Zaliczenie przedmiotu na podstawie frekwencji oraz pozytywnego wyniku testu końcowego.
Kinematografia i fotografia w krajach niemieckojęzycznych,3.0,zdalnie,Zajęcia prowadzone są w formie seminarium. Zaliczenie na podstawie referatu lub pracy pisemnej semestralnej.
Kampania promocyjna w sieci - Promocja cyfrowa w kilku krokach,3.0,zdalnie,"Podstawą weryfikacji wiedzy z kursu będzie:
- ocena zadań cząstkowych dostępnych po wybranych modułach kursu, w tym własnej analizy bazowej struktury promocji
- ocena projektu końcowego, czyli projektu własnej kampanii promocyjnej stworzonej na bazie szablonu realizacji kampanii promocyjnej"
Leni Riefenstahl – gwiazda Hitlera i artystka wielu talentów,3.0,zdalnie,"Zajęcia kończy test zaliczeniowy na ocenę, która zostanie wpisana do USOS, jeśli Student przed przystąpieniem do testu zaliczeniowego wykona z pozytywnym rezultatem wszystkie aktywności (w tym testy) przypisane do poszczególnych tematów w ramach tych zajęć na platformie Kampus w terminach ustalonych przez Prowadzącego.
Terminowe wykonanie z pozytywnym rezultatem wszystkich aktywności (w tym testów) przypisanych do poszczególnych tematów w ramach tych zajęć na platformie Kampus jest więc warunkiem wpisania do USOS oceny z testu zaliczeniowego."
"Marlena Dietrich - aktorka, piosenkarka, ikona mody",3.0,zdalnie,"Zajęcia kończy test zaliczeniowy na ocenę, która zostanie wpisana do USOS, 
jeśli Student przed przystąpieniem do testu zaliczeniowego wykona z pozytywnym rezultatem wszystkie  aktywności (w tym testy) przypisane do poszczególnych tematów w ramach tych zajęć na platformie Kampus w terminach ustalonych przez Prowadzącego.  
Terminowe wykonanie z pozytywnym rezultatem wszystkich aktywności (w tym testów) przypisanych do poszczególnych tematów w ramach tych zajęć na platformie Kampus jest więc warunkiem wpisania do USOS oceny z testu zaliczeniowego."
"Młodzi, gniewni, inni we współczesnym teatrze europejskim",3.0,zdalnie,"udział w seminarium, aktywność"
Muzycy i muzyka popularna w krajach niemieckojęzycznych,3.0,zdalnie,"Referaty w języku polskim, aktywny udział Studentek i Studentów."
Język niemiecki dla obcokrajowców A1/5 (German in English A1/part 5),3.0,zdalnie,"Number of tests
• One final exam (oral) at the ultimate class.
• Students are expected to study at home and do the homework (grammar exercises, quizzes, listening comprehension and translation on Google Classroom).
• The final mark is the average mark based on all assignments and final exam.
• Only students who have worked the entire semester and scored at least 60% on their homework can take the final exam
• The final test is not a last resort for those who have not worked during the term and who have not worked during the term"
Kultura kulinarna - o niemieckiej kuchni i jej związkach z regionem i lokalną tradycją,3.0,zdalnie,"(tylko po angielsku) Active attendance in class, reading of selected excerpts from the course literature and participation in the discussion, and preparation of your own 6-10 minute presentation (power point or presi) on a selected topic related to the seminar topic."
Nowe spojrzenie na relację człowiek-zwierzę,3.0,zdalnie,"Obecność i aktywność na zajęciach. Praca pisemna/prezentacja/test.
UWAGI
1) Zwolnienie lekarskie nie zwalnia ze znajomości materiału. Uprawnia jedynie do zindywidualizowanej formy zaliczenia. 
2) Osoby, które dostały zgodę na indywidualny tok studiów, mają obowiązek zgłosić się do osoby prowadzącej przedmiot w celu ustalenia sposobu realizacji wszystkich efektów uczenia się przypisanych do przedmiotu."
