Nazwa,ECTS,Tryb,Kryteria,kategorie
Najnowsze dyskursy w literaturze ukraińskiej,2.0,w sali,"Metody tradycyjne
prezentacja – przedstawienie zagadnienia w sposób zachęcający do pogłębienia zdobytej wiedzy
Metody aktywizujące
ćwiczenia konwersacyjne w zakresie analizy i interpretacji tekstu
Kontrola bieżącego przygotowania
Zajęcia zorganizowane w sali 1 ECTS 
Przygotowanie do testu końcowego 1 ECTS",Inne
Nauka języka ukrainskiego (B1),6.0,w sali,"Warunki zaliczenia przedmiotu i dopuszczenia do zaliczenia na ocenę:
- ocena ciągła, czyli aktywne uczestnictwo w zajęciach; 
 - systematyczne przygotowanie na zajęcia zadanego materiału;
- terminowe wykonywanie prac domowych i testów kontrolnych. 
Przy zaliczeniach stosuje się następujące kryteria: 
- osiągnięcie zakładanych efektów kształcenia obejmujących wszystkie istotne aspekty – 5,0 (ocena bardzo dobra) 
- osiągnięcie zakładanych efektów kształcenia obejmujących wszystkie istotne aspekty z niewielką liczbą błędów lub nieścisłości – 4,5 (ocena dobra plus) 
- osiągnięcie zakładanych efektów kształcenia z pominięciem niektórych (mniej istotnych) aspektów – 4,0 (ocena dobra) 
- osiągnięcie zakładanych efektów kształcenia z pominięciem niektórych istotnych aspektów oraz z istotnymi nieścisłościami – 3,5 (ocena dostateczna plus)
 - osiągnięcie zakładanych efektów kształcenia z pominięciem istotnych aspektów lub z poważnymi nieścisłościami – 3,0 (ocena dostateczna plus) 
- brak osiągnięcia zakładanych efektów kształcenia – 2,0 (ocena niedostateczna)
Składniki oceny: 
- ocena ciągła, kształtująca (bieżące przygotowanie do zajęć, aktywność) – 50% 
- śródsemestralne testy/ prace kontrolne – 50% 
Kryteria oceny wypowiedzi pisemnej:
a/ poprawność językowa, 
b/ zgodność wypowiedzi z tematem, 
c/ kompozycja, 
d/ objętość pracy, 
Kryteria oceny wypowiedzi ustnej: 
a/ spójność i płynność wypowiedzi, 
b/ poprawność językowa,
c/ zgodność wypowiedzi z tematem,
Przedmiot kończy się zaliczeniem na ocenę.
Na ocenę końcową składa się praca w trakcie semestru (30%) oraz wynik zaliczenia na ocenę (70%). 
Przedmiot kończy się zaliczeniem na ocenę, gdzie kryteria oceny przedstawione są w formie progów procentowych 
60% – 68% - 3 (ocena dostateczna)
69% - 77% - 3+ (ocena dostateczna plus)
78% - 85% - 4 (ocena dobra)
86% - 91% - 4+ (ocena dobra plus)
92% - 97% - 5 (ocena bardzo dobra)
98% -100% - 5 !(ocena bardzo dobra z wykrzyknikiem)
Warunkiem dopuszczenia do zaliczenia przedmiotu jest obecność na zajęciach.
Student ma prawo do 2 nieusprawiedliwionych nieobecności na każde 30 godzin, każda następna wymaga złożenia usprawiedliwienia. O uznaniu nieobecności decyduje wykładowca.
Forma zaliczenia zajęć, na których student był nieobecny, jest wyznaczana przez wykładowcę.
Przekroczenie nieobecności usprawiedliwionych i nieusprawiedliwionych na 50% zajęć może być podstawą do niezaliczenia przedmiotu.
Student ma prawo przystąpić do poprawy końcowego zaliczenia w takiej samej formie, jak w sesji podstawowej i pod warunkiem uzyskania zaliczenia z przedmiotu.",Inne
Psycholingwistyka,3.0,w sali,"Warunki zaliczenia przedmiotu (w pierwszym i drugim podejściu) i składniki oceny: 
Składniki oceny: 
- ocena ciągła, kształtująca (bieżące przygotowanie do zajęć, aktywność) – 10% 
- zaliczenie pisemne – 90 %.
Stosuje się następujące kryteria:
- osiągnięcie zakładanych efektów kształcenia obejmujących wszystkie istotne aspekty – 5,0 (ocena bardzo dobra)
- osiągnięcie zakładanych efektów kształcenia obejmujących wszystkie istotne aspekty z niewielką liczbą błędów lub nieścisłości – 4,5 (ocena dobra plus)
- osiągnięcie zakładanych efektów kształcenia z pominięciem niektórych (mniej istotnych) aspektów – 4,0 (ocena dobra)
- osiągnięcie zakładanych efektów kształcenia z pominięciem niektórych istotnych aspektów oraz z istotnymi nieścisłościami – 3,5 (ocena dostateczna plus)
- osiągnięcie zakładanych efektów kształcenia z pominięciem istotnych aspektów lub z poważnymi nieścisłościami – 3,0 (ocena dostateczna plus)
- brak osiągnięcia zakładanych efektów kształcenia – 2,0 (ocena niedostateczna).
Student ma prawo do dwóch nieusprawiedliwionych nieobecności.",Inne
Praktyczna nauka języka rosyjskiego (B2+),4.0,zdalnie,"Warunki zaliczenia przedmiotu i dopuszczenia do końcowego  zaliczenia:
- obecność na zajęciach
- aktywność na zajęciach
- bieżące przygotowanie do zajęć
- zaliczenie testów kontrolnych
- zaliczenie prezentacji indywidualnych
Kryteria oceny testów kontrolnych i końcowego testu zaliczeniowego (progi procentowe):
99-100% – 5! 
93-98 % – 5 
87-92% – 4+ 
77-86% – 4 
70-76% – 3+ 
60-69% – 3 
Na ocenę końcową składa się: ocena pracy w ciągu semestru (30%) oraz ocena z testu końcowego (70%).
Student ma prawo do 3 nieusprawiedliwionych nieobecności, każda następna wymaga złożenia usprawiedliwienia. Sposób odrabiania pozostałych nieusprawiedliwionych nieobecności wyznacza prowadzący.
Student ma prawo do przystąpienia do zaliczenia w sesji poprawkowej w takiej samej formie, jak w sesji podstawowej i pod warunkiem uzyskania zaliczenia z przedmiotu.",Inne
Praktyczna nauka języka rosyjskiego  (B1+),2.0,w sali,"Warunki zaliczenia przedmiotu i dopuszczenia do zaliczenia końcowego:
- kontrola bieżącego przygotowania;
- zaliczenie testów kontrolnych i sprawdzianów tłumaczeniowych;
-  zaliczenie projektów grupowych i indywidualnych.
Zaliczenie końcowe jest w formie pisemnej.
Kryteria oceny przedstawione są w formie progów procentowych (przeliczenie punktów):
99-100% - 5 !(ocena bardzo dobra z wykrzyknikiem)
93- 98 % - 5 (ocena bardzo dobra)
87-92% - 4+ (ocena dobra plus) 
77-86% - 4 (ocena dobra) 
70-76% - 3+ (ocena dostateczna plus) 
60-69% - 3 (ocena dostateczna) 
Student ma prawo do 2 nieusprawiedliwionych nieobecności, każda następna wymaga złożenia usprawiedliwienia. Obecność studenta na zajęciach jest potwierdzona podpisem na liście ( w sali).  W przypadku przekroczenia tych limitów, student przystępuje również do zaliczenia ustnego.
Student ma prawo przystąpić do zaliczenia w sesji poprawkowej w takiej samej formie, jak w sesji podstawowej i pod warunkiem dopuszczenia do zaliczenia z przedmiotu.
Przekroczenie nieobecności usprawiedliwionych i nieusprawiedliwionych na 50% zajęć może być podstawą do niezaliczenia przedmiotu.",Inne
Praktyczna nauka języka rosyjskiego (B2),2.0,zdalnie,"Warunki zaliczenia przedmiotu i dopuszczenia do końcowego pisemnego tekstu zaliczeniowego:
- obecność na zajęciach;
- zaliczenie projektów grupowych i indywidualnych.
Kryteria oceny przedstawione są w formie progów procentowych (przeliczenie punktów):
99-100% - 5 !(ocena bardzo dobra z wykrzyknikiem)
93- 98 % - 5 (ocena bardzo dobra)
87-92% - 4+ (ocena dobra plus)
77-86% - 4 (ocena dobra)
70-76% - 3+ (ocena dostateczna plus)
60-69% - 3 (ocena dostateczna)
Student ma prawo do 2 nieusprawiedliwionych nieobecności, każda następna wymaga złożenia usprawiedliwienia. Przekroczenie dozwolonej ilości nieusprawiedliwionych nieobecności na zajęciach wymaga uzyskania dodatkowego zaliczenia odpowiedzi ustnej przed przystąpieniem do testu zaliczeniowego. Student ma prawo przystąpić do pisemnego testu zaliczeniowego w sesji poprawkowej w takiej samej formie, jak w sesji podstawowej i pod warunkiem dopuszczenia do zaliczenia przedmiotu.
Przekroczenie nieobecności usprawiedliwionych i nieusprawiedliwionych na 50% zajęć może być podstawą do niezaliczenia przedmiotu.",Inne
"Ukraina a Europa (historia,kultura, literatura) 3",3.0,w sali,"Egzamin pisemny.
Kryteria oceny przedstawione są w formie progów procentowych (przeliczenie punktów):
99-100% - 5 !(ocena bardzo dobra z wykrzyknikiem)
93- 98 % - 5 (ocena bardzo dobra)
87-92% - 4+ (ocena dobra plus)
77-86% - 4 (ocena dobra)
70-76% - 3+ (ocena dostateczna plus)
60-69% - 3 (ocena dostateczna)
Student ma prawo do 2 nieusprawiedliwionych nieobecności, każda następna wymaga złożenia
Usprawiedliwienia.","Historia i archeologia, Języki i kultury świata"
American Popular Music Culture,3.0,w sali,Ocena końcowa wystawiana jest na podstawie testu pisemnego sprawdzającego wiedzę o fenomenach kulturowych omówionych na wykładzie  w szczególności umiejętność interpretacji wybranej piosenki jako całości meliczno-tekstowej w odniesieniu do ram pojęciowych wyznaczonych na zajęciach.,Inne
"Edward Morgan Forster – Life, Works, Reception",4.0,w sali,"Test końcowy, aktywny udział w zajęciach.",Inne
"Kontakty polsko-włoskie na przestrzeni wieków (dyplomacja, kultura, literatura). Wybrane zagadnienia",6.0,zdalnie,"Ocena na podstawie obecności (wymagane 60%) oraz wyniku testu zaliczeniowego (zalicza 60% poprawnych odpowiedzi). Alternatywą jest krótka praca na wskazany temat i ustne jej omówienie wraz ze szczegółowym odniesieniem się do ujętej w pracy bibliografii.
Przyjęte zasady punktacji dla oceny bieżącej:
• ponad 90% – 5
• 85%-89% – 4+
• 80%-84% – 4
• 70%-79% – 3+
• 60%-69% – 3",Języki i kultury świata
"Literatura anglojęzycznego obszaru językowego, cz. 1",2.0,w sali,"Pisemny egzamin końcowy w formie pytań testowych oraz pytań otwartych.
% punktów z egzaminu a ocena:
0-59%=2 (ndst)
60%-68% = 3.0 (3)
69%-76% = 3.5 (3+)
77%-84% = 4.0 (4)
85%-92% = 4.5 (4+)
93%-98% = 5.0 (5)
99%-100% = 5.0! (5!)
Uzyskanie oceny niedostatecznej w sesji właściwej skutkuje wpisaniem oceny negatywnej do systemu USOS w pierwszym terminie i koniecznością poprawy w sesji poprawkowej. Egzamin poprawkowy odbywa się na tych samych zasadach i w tej samej formie co egzamin w sesji właściwej.
Student zobowiązany jest do uczęszczania na wszystkie zajęcia. Dopuszcza się dwie nieusprawiedliwione nieobecności na 30h zajęć kontaktowych kursu.",Języki i kultury świata
Neapol i Sycylia w europejskich relacjach z podróży,6.0,zdalnie,"Ocena na podstawie obecności (wymagane 60%) oraz wyniku testu zaliczeniowego. Alternatywą do testu jest krótka praca na wskazany temat i ustna obrona wraz z omówieniem wskazanej w pracy bibliografii.
Przyjęte zasady punktacji dla oceny bieżącej:
• ponad 90% – 5
• 85%-89% – 4+
• 80%-84% – 4
• 70%-79% – 3+
• 60%-69% – 3",Inne
Social changes mirrored by lyrics of American hip-hop genre,3.0,lektura monograficznaw sali,Ustalana jest przez prowadzącego wykład.,Inne
Wprowadzenie do literatury latynoamerykańskiej,3.0,w sali,"Wykład monograficzny
Zaliczenie na ocenę.",Inne
Kurs na Równość – przeciwdziałanie dyskryminacji na UW,2.0,zdalnie,"Zaliczenie całości interaktywnego kursu równa się ocenie bardzo dobrej.
Niższe oceny stanowią procentowy wymiar ukończenia kursu. Najniższa pozytywna ocena to 60% kursu.",Równość i prawa człowieka
"Dzieciństwo trwa wiecznie... Dziecko we współczesnej kulturze niemieckiej, polskiej i angielskiej - próba porównania",3.0,zdalnie,"Przez pierwszy miesiąc konwersatorium będzie poświęcona wyjaśnieniu pojęć naukowych z zakresu children studies oraz tła historyczno-społeczno-kulturalnego, tendencji badawczych dotyczących kategorii ,dziecko' i ,dzieciństwo' we współczesnej kulturze europejskiej. W kolejnych miesiącach będziemy analizować konkretne pisma psychologiczne oraz badania psychologiczne czołowych psychologów XX i XXI wieku. W tym okresie na każdych zajęciach student będzie miał możliwość przestawienia 15-minutowego referatu w formie ustnej, który będzie podstawą zaliczenia przedmiotu.",Inne
E-commerce w praktyce - Uruchomienie sprzedaży w sieci,3.0,zdalnie,"Podstawą weryfikacji wiedzy z kursu będzie:
- ocena zadań cząstkowych dostępnych po wybranych modułach kursu
- ocena projektu końcowego, czyli analizy wybranego e-biznesu lub projektu własnego e-biznesu stworzonego na bazie szablonu wdrożenia sprzedaży e-commerce",Inne
Język niemiecki dla zaawansowanych (poziom B2/C1),3.0,zdalnie,"Na ocenę składają się oceny cząstkowe z testów i zadań on-line, prac pisemnych i ustnych na platformie Kampus UW. Podstawą zaliczenia przedmiotu jest uzyskanie min. 60% w zadaniach, pracach i testach cząstkowych.",Języki i kultury świata
Język niderlandzki od podstaw z kulturą Niderlandów w tle - online,3.0,zdalnie,Zaliczenie przedmiotu na podstawie frekwencji oraz pozytywnego wyniku testu końcowego.,Języki i kultury świata
Kinematografia i fotografia w krajach niemieckojęzycznych,3.0,zdalnie,Zajęcia prowadzone są w formie seminarium. Zaliczenie na podstawie referatu lub pracy pisemnej semestralnej.,Inne
Kampania promocyjna w sieci - Promocja cyfrowa w kilku krokach,3.0,zdalnie,"Podstawą weryfikacji wiedzy z kursu będzie:
- ocena zadań cząstkowych dostępnych po wybranych modułach kursu, w tym własnej analizy bazowej struktury promocji
- ocena projektu końcowego, czyli projektu własnej kampanii promocyjnej stworzonej na bazie szablonu realizacji kampanii promocyjnej",Inne
Leni Riefenstahl – gwiazda Hitlera i artystka wielu talentów,3.0,zdalnie,"Zajęcia kończy test zaliczeniowy na ocenę, która zostanie wpisana do USOS, jeśli Student przed przystąpieniem do testu zaliczeniowego wykona z pozytywnym rezultatem wszystkie aktywności (w tym testy) przypisane do poszczególnych tematów w ramach tych zajęć na platformie Kampus w terminach ustalonych przez Prowadzącego.
Terminowe wykonanie z pozytywnym rezultatem wszystkich aktywności (w tym testów) przypisanych do poszczególnych tematów w ramach tych zajęć na platformie Kampus jest więc warunkiem wpisania do USOS oceny z testu zaliczeniowego.",Inne
"Marlena Dietrich - aktorka, piosenkarka, ikona mody",3.0,zdalnie,"Zajęcia kończy test zaliczeniowy na ocenę, która zostanie wpisana do USOS, 
jeśli Student przed przystąpieniem do testu zaliczeniowego wykona z pozytywnym rezultatem wszystkie  aktywności (w tym testy) przypisane do poszczególnych tematów w ramach tych zajęć na platformie Kampus w terminach ustalonych przez Prowadzącego.  
Terminowe wykonanie z pozytywnym rezultatem wszystkich aktywności (w tym testów) przypisanych do poszczególnych tematów w ramach tych zajęć na platformie Kampus jest więc warunkiem wpisania do USOS oceny z testu zaliczeniowego.",Inne
"Młodzi, gniewni, inni we współczesnym teatrze europejskim",3.0,zdalnie,"udział w seminarium, aktywność",Inne
Muzycy i muzyka popularna w krajach niemieckojęzycznych,3.0,zdalnie,"Referaty w języku polskim, aktywny udział Studentek i Studentów.",Muzyka i sztuka
Język niemiecki dla obcokrajowców A1/5 (German in English A1/part 5),3.0,zdalnie,"Number of tests
• One final exam (oral) at the ultimate class.
• Students are expected to study at home and do the homework (grammar exercises, quizzes, listening comprehension and translation on Google Classroom).
• The final mark is the average mark based on all assignments and final exam.
• Only students who have worked the entire semester and scored at least 60% on their homework can take the final exam
• The final test is not a last resort for those who have not worked during the term and who have not worked during the term",Języki i kultury świata
Kultura kulinarna - o niemieckiej kuchni i jej związkach z regionem i lokalną tradycją,3.0,zdalnie,"(tylko po angielsku) Active attendance in class, reading of selected excerpts from the course literature and participation in the discussion, and preparation of your own 6-10 minute presentation (power point or presi) on a selected topic related to the seminar topic.",Języki i kultury świata
Nowe spojrzenie na relację człowiek-zwierzę,3.0,zdalnie,"Obecność i aktywność na zajęciach. Praca pisemna/prezentacja/test.
UWAGI
1) Zwolnienie lekarskie nie zwalnia ze znajomości materiału. Uprawnia jedynie do zindywidualizowanej formy zaliczenia. 
2) Osoby, które dostały zgodę na indywidualny tok studiów, mają obowiązek zgłosić się do osoby prowadzącej przedmiot w celu ustalenia sposobu realizacji wszystkich efektów uczenia się przypisanych do przedmiotu.",Inne
Od tekstu do ciała i z powrotem,3.0,zdalnie,"- regularne uczestnictwo w zajęciach, indywidualne prezentacje;
- praca semestralna na temat jednej lektury, wybranej samodzielnie",Inne
"Szwajcaria, Austria i Liechtenstein obecnie",3.0,zdalnie,"Warunkiem zaliczenia przedmiotu jest obecność na zajęciach, aktywny w nich udział oraz uzyskanie z końcowego zaliczenia ustnego min. 60%.
Dopuszczalna liczba nieobecności to trzy, przy czym nieuczestniczenie w zajęciach nie zwalnia ze znajomości przerobionego materiału.
Zaliczenie ustne składa się z dwóch części:
1.	scharakteryzowanie wylosowanego zagadnienia dotyczące przerobionego materiału, używając słownictwa i struktur na poziomie B2
2.	trzyminutowa wypowiedź na wybrany przez siebie temat dotyczący Szwajcarii, Austrii i Liechtensteinu obecnie
Aby otrzymać ocenę pozytywną, należy uzyskać z każdej części min. 60%.
Punktacja:
60-67 %               3
68- 75%               3,5
76- 83%               4
84- 91%               4,5
92- 100%             5 
Forma i kryteria oceniania zaliczenia przedmiotu mogą ulec zmianie jedynie w zgodzie z regulacjami obowiązującymi w danym czasie na Uniwersytecie Warszawskim oraz w porozumieniu z uczestnikami zajęć.",Inne
Schnellkurs Oper,3.0,zdalnie,"testy i zadania on-line na platformie Kampus UW; oceny uzyskane z testów i zadań cząstkowych składają się na ocenę końcową, podstawą zaliczenia jest uzyskanie min. 60% w testach cząstkowych.",Inne
"Dlaczego syrena ze Starbucksa ma dwa ogony, czyli o wróżkach, wilkołakach, mandragorach i syrenach",3.0,zdalnie,Podstawą zaliczenia jest aktywne uczestnictwo w zajęciach oraz przygotowanie i przedstawienie krótkiego projektu.,Inne
Tureccy gastarbeiterzy i ich potomkowie w Niemczech. Historia Literatura Kultura,3.0,zdalnie,"Ocenione zostaną: przygotowanie
do zajęć, zaangażowanie, zdobyta wiedza. Ocena na podstawie ustnego zaliczenia pod koniec zajęć, możliwa także w postaci prezentacji (w zależności od liczby uczestników i raczej przy tradycyjnej formie zajęć).
Preferowany termin: czwartki 16.45-18.15 on-line","Historia i archeologia, Języki i kultury świata"
Tematy tabu w literaturze i książce dla dzieci,3.0,zdalnie,"Obecność i aktywność na zajęciach, samodzielne poszukiwanie literatury, prezentacja przedstawiona na zajęciach.
W przypadku braku możliwości prowadzenia zajęć w formie stacjonarnej, zajęcia i zaliczenia (prezentacje, dyskusje)będą się odbywać przy użyciu narzędzi komunikacji na odległość - google classroom, google meet.
Forma i kryteria zaliczenia przedmiotu mogą ulec zmianie w zależności od aktualnej sytuacji epidemicznej. Równoważne warunki zaliczenia zostaną ustalone zgodnie z wytycznymi obowiązującymi na Uniwersytecie Warszawskim, w porozumieniu z uczestnikami zajęć.",Inne
Historia i kultura Francji Ip,2.0,w sali,"Na ocenę końcową (zaliczenie semestru) składają się następujące elementy:
- obecność na zajęciach. Dopuszczalne są 4 nieobecności, bez względu na to, czy są usprawiedliwione czy nie. 
- aktywność na platformie e-learningowej - podczas semestru słuchacze będą wykonywali określoną liczbę zadań. Średnia z tych zadań będzie składową oceny końcowej kursu.
- wynik z dwóch testów w sali - pierwszym z nich będzie test połówkowy, obejmujący materiał z połowy zajęć, drugim będzie test semestralny, obejmujący swym zakresem wszystkie tematy zrealizowane od początku do końca semestru.
Ocena końcowa będzie wyliczona według następujących proporcji:
- wynik z zadań realizowanych na platformie - 40%
- wynik z testów w sali - 60%
Aby otrzymać zaliczenie w I terminie należy zebrać minimum 60% możliwych do uzyskania punktów.
UWAGA - aby otrzymać zaliczenie w II terminie, należy zebrać minimum 70% możliwych do uzyskania punktów.","Historia i archeologia, Języki i kultury świata"
Historia literatury francuskiej - Średniowiecze i XVI w.,4.0,,Test pisemny.,Historia i archeologia
Konwersatorium literaturoznawcze - Iluzja i prawda w teatrze od Baroku po Romantyzm,3.0,w sali,"Warunki zaliczenia: aktywna obecność (znajomość przesłanych wcześniej fragmentów tekstów, jako punktu wyjścia do dyskusji), exposé lub animowanie debaty 10 min. na wybrany z kwestionariusza temat. Praca pisemna w klasie (w połowie semestru) i końcowy test (15 min) dopuszczają do ustnego egzaminu (lista lektur i zagadnienia podane na początku semestru).
 Powyżej dwóch nieobecności nieusprawiedliwionych (nie licząc pierwszych zajęć) następuje skreślenie z listy studentów. W razie trudności z połączeniem się na platformie, proszę o równolegly kontakt mailowy pod: i.m.zatorska@uw.edu.pl",Inne
Konwersatorium literaturoznawcze I/IIp  : Przekraczanie granic we francuskiej literaturze średniowiecznej,3.0,w sali,"- Ocena aktywności na zajęciach
- Sprawdziany
- Praca pisemna
- Zaliczenie ustne",Inne
Konwersatorium literaturoznawcze I/IIp: Obcość i bliskość literatury średniowiecznej,3.0,w sali,"Ocena aktywności na zajęciach (dopuszczalne są dwie nieusprawiedliwione nieobecności)
- Sprawdziany
- Praca pisemna
- Zaliczenie ustne",Inne
Edukacja językowa w XXI wieku,2.0,w sali,"- opracowanie e-portfolio odnoszącego się do wybranego obszaru tematycznego poruszanego na zajęciach;
- bieżące monitorowanie obecności i aktywności;
- dyskusje w parach i grupach;
- krótkie formy pisemne w trakcie zajęć lub po zajęciach (wejściówki, response paper, podsumowania)
Kryteria oceniania zostaną ustalone w porozumieniu z uczestnikami na początku zajęć",Edukacja i dydaktyka
Historia i kultura Francji. Wykład w języku francuskim,3.0,mieszany: w sali i zdalniew sali,"Na ocenę końcową (zaliczenie semestru) składają się następujące elementy:
- obecność na zajęciach. Dopuszczalne są 4 nieobecności, bez względu na to, czy są usprawiedliwione czy nie. 
- aktywność na platformie e-learningowej - podczas semestru słuchacze będą wykonywali określoną liczbę zadań. Średnia z tych zadań będzie składową oceny końcowej kursu.
- wynik z dwóch testów w sali - pierwszym z nich będzie test połówkowy, obejmujący materiał z połowy zajęć, drugim będzie test semestralny, obejmujący swym zakresem wszystkie tematy zrealizowane od początku do końca semestru.
Ocena końcowa będzie wyliczona według następujących proporcji:
- wynik z zadań realizowanych na platformie - 40%
- wynik z testów w sali - 60%
Aby otrzymać zaliczenie w I terminie należy zebrać minimum 60% możliwych do uzyskania punktów.
UWAGA - aby otrzymać zaliczenie w II terminie, należy zebrać minimum 70% możliwych do uzyskania punktów.","Historia i archeologia, Języki i kultury świata"
Konwersatorium literaturoznawcze - List w powieści i powieść w listach XVII-XVIII w.,3.0,,"Warunki zaliczenia: aktywna obecność (znajomość wybranych przez wykładowcę fragmentów tekstów, jako punktu wyjścia do dyskusji), exposé 10 min. na wybrany z kwestionariusza temat. Praca pisemna w klasie (w połowie semestru) i końcowy test (15 min) dopuszczają do ustnego egzaminu (lista lektur i zagadnienia podane na początku semestru).
Powyżej dwóch nieobecności nieusprawiedliwionych (nie licząc pierwszych zajęć) następuje skreślenie z listy studentów.",Inne
Seminarium tematyczne: Między teorią psychologiczną a praktyką nauczania języków obcych: jak zoptymalizować działania dydaktyczne w świetle koncepcji poznawczej?,4.0,w sali,"Zaliczenie na ocenę. Warunki zaliczenia to obecność i aktywność na zajęciach (dopuszczalne 2 nieobecności nieusprawiedliwione); lektura wskazanych tekstów; przygotowanie prezentacji; zaliczenie testu końcowego. 
Informacja o aktualnym terminie dyżuru prowadzącej zajęcia znajduje się na stronie internetowej Instytutu Romanistyki.",Inne
Seminarium tematyczne : W poszukiwaniu (nowej?) tożsamości: quebecka literatura migracyjna,4.0,w sali,"Na ocenę końcową składają się Państwa obecności (tylko dwie nieobecności bez obowiązku zaliczania nieobecności na dyżurze), aktywność (kryteria podane podczas zajęć) (1/4 oceny), prezentacja (1/4 oceny) i test końcowy (1/2 oceny).",Języki i kultury świata
Seminarium tematyczne: Przekłady współczesności: najnowsza francuskojęzyczna powieść młodzieżowa - perspektywa społeczna i traduktologiczna,4.0,w sali,,Inne
Eko/geo/zoo/apo/trans - odpowiedzi literatury na kryzys środowiskowy,3.0,w sali,"- obecność obowiązkowa; Student, który opuści zajęcia więcej niż 2 razy będzie proszony o zgłoszenie się na dyżur w celu omówienia treści zajęć, w czasie których był nieobecny lub otrzyma dodatkowe pytanie na teście; 
- dwa testy (w środku i na koniec semestru)",Inne
Wyzwania dla tłumacza tekstów starofrancuskich,3.0,w sali,Obecność obowiązkowa (dopuszczone 2 nieobecności). Zaliczenie wykładu na podstawie jednego testu pisemnego końcowego sprawdzającego znajomość wybranych problemów gramatycznych oraz rozumienie tekstu starofrancuskiego.,Inne
Wykład monograficzny - Wokół sacrum. Przestrzeń sakralna w literaturze świeckiej francuskiego średniowiecza,3.0,,"Obecność obowiązkowa
Test końcowy",Inne
Język i kultura baskijska A1,6.0,,"Oceny na zasadzie małych prac pisemnych, które odzwierciedlają to, czego nauczyliśmy się po kazdym rozdziale, a także egzamin na koniec semestru.",Języki i kultury świata
Język i kultura baskijska B1,6.0,,"Oceny na zasadzie  małych prac pisemnych, które odzwierciedlają to, czego nauczyliśmy się po kazdym rozdziale, a także egzamin na koniec semestru.",Języki i kultury świata
Język i kultura galisyjska A1,6.0,w sali,"Po każdej części studenci będą musieli napisać krótki test sprawdzający. Ponadto, będą oceniani za pracę na lekcji. Na koniec semetru będą musieli zdać test końcowy, który będzie się składał z części pisemnej i ustnej oraz będzie sprawdzał rozumienie ze słuchu i tekstu czytanego, pisanie i mówienie. 
Dozwolone są trzy nieobecności nieusprawiedliwione.",Języki i kultury świata
Język i kultura galisyjska B1,6.0,w sali,"Po każdej części studenci będą musieli napisać krótki test sprawdzający. Ponadto, będą oceniani za pracę na lekcji. Na koniec semetru będą musieli zdać test końcowy, który będzie się składał z części pisemnej i ustnej oraz będzie sprawdzał rozumienie ze słuchu i tekstu czytanego, pisanie i mówienie. 
Dozwolone są trzy nieobecności nieusprawiedliwione.",Języki i kultury świata
Język i kultura katalońska A1,6.0,,"Metody i kryteria oceniania są następujące:
Obecność (20%)
Aktywność (20%)
Egzamin na koniec semestru (60%)
Nieobecność nieusprawiedliwiona na 5 zajęciach oznacza utratę 20% oceny. Aktywność jest oceniana na podstawie zainteresowania studenta tematem i udziałem w dyskusjach.
Kryteria te mogą ulec nieznacznym modyfikacjom w szczególnych sytuacjach.",Języki i kultury świata
Język i kultura katalońska B1,4.0,w sali,"Studenci są oceniani w sposób ciągły na podstawie uczestnictwa i aktywności na zajęciach, realizacji zadań domowych oraz wyniku testów środsemestralnych. Warunkiem końcowego zaliczenia semestru jest zaliczenie wszystkich testów śródsemestralnych oraz testu końcowego.",Języki i kultury świata
Język i kultura katalońska C1,4.0,,"Studenci są oceniani w sposób ciągły na podstawie uczestnictwa i aktywności na zajęciach, realizacji zadań domowych oraz wyniku testów środsemestralnych. Warunkiem końcowego zaliczenia semestru jest zaliczenie wszystkich testów śródsemestralnych oraz testu końcowego.",Języki i kultury świata
Czytanie „cyklu muminkowego” Tove Jansson,3.0,w sali,Obecność i aktywność na zajęciach; krótka (ok. 5 stron) praca pisemna.,Inne
"Historia, kultura i literatura Estonii",3.0,,"śródsemestralne pisemne testy kontrolne (zdalne),
analiza literatury
esej","Historia i archeologia, Języki i kultury świata"
Historia kina włoskiego I,4.0,,"Warunkiem zaliczenia jest obecność na zajęciach (w jednym semestrze dozwolone są 2 nieobecności nieusprawiedliwione; aby uzyskać zaliczenie, student musi być obecny na min. 60% zajęć, licząc w tym również zwolnienia lekarskie). 
Na ocenę końcową składają się: aktywność podczas zajęć oraz test końcowy, składający się z serii pytań otwartych i zamkniętych.",Historia i archeologia
Dawny teatr włoski,4.0,,"Trzy testy do zaliczenia dostępne na platformie Kampus2, otwierane sukcesywnie w określonym czasie (nie przez cały czas trwania kursu). 
Skala ocen:
Ocena dostateczna 50% 
Ocena dostateczna + 60% 
Ocena dobra 70% 
Ocena dobra + 80% 
Ocena bardzo dobra 90% 
Ocena celująca 95%",Inne
Analiza i interpretacja tekstu poetyckiego,3.0,,"obecność,  aktywny udział w zajęciach, praca semestralna, poświęcona analizie i interpretacji dowolnie wybranego wiersza",Technologie i dane
